7  ,      ,       ,            ,                        ,             ,
id ,WCET  ,period ,util        ,resource_required_index ,resource_num ,number_of_access_in_one_release
1  ,3900  ,26500  ,0.373584906 ,0                       ,1            ,1
2  ,4000  ,27000  ,0.37037037  ,0                       ,1            ,1
3  ,9000  ,40000  ,0.375       ,0                       ,1            ,1
4  ,13000 ,50500  ,0.376237624 ,0                       ,1            ,1
5  ,5500  ,41000  ,0.134146341 ,                        ,0            ,
6  ,7600  ,29600  ,0.256756757 ,                        ,0            ,
7  ,7200  ,29100  ,0.24742268  ,                        ,0            ,
1  ,      ,       ,            ,                        ,             ,
id ,csl   ,       ,            ,                        ,             ,
1  ,6000  ,       ,            ,                        ,             ,